EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IJMUIDEN            , NETHERLANDS (STAID: 3176)
Blended and updated with sources:13488 906225 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   FG, Q_FG
  3176, 13488,19710602,   77,    0
  3176, 13488,19710603,   93,    0
  3176, 13488,19710604,   87,    0
  3176, 13488,19710605,   93,    0
  3176, 13488,19710606,   51,    0
  3176, 13488,19710607,   57,    0
  3176, 13488,19710608,   51,    0
  3176, 13488,19710609,   51,    0
  3176, 13488,19710610,   82,    0
  3176, 13488,19710611,   46,    0
  3176, 13488,19710612,   41,    0
  3176, 13488,19710613,   36,    0
  3176, 13488,19710614,   87,    0
  3176, 13488,19710615,  108,    0
  3176, 13488,19710616,   98,    0
  3176, 13488,19710617,   67,    0
  3176, 13488,19710618,   98,    0
  3176, 13488,19710619,   62,    0
  3176, 13488,19710620,   93,    0
  3176, 13488,19710621,   93,    0
  3176, 13488,19710622,  123,    0
  3176, 13488,19710623,   57,    0
  3176, 13488,19710624,   40,    0
  3176, 13488,19710625,   72,    0
  3176, 13488,19710626,   77,    0
  3176, 13488,19710627,  108,    0
  3176, 13488,19710628,-9999,    9
  3176, 13488,19710629,   67,    0
  3176, 13488,19710630,   62,    0
  3176, 13488,19710701,   31,    0
  3176, 13488,19710702,   51,    0
  3176, 13488,19710703,   46,    0
  3176, 13488,19710704,   51,    0
  3176, 13488,19710705,   57,    0
  3176, 13488,19710706,   67,    0
  3176, 13488,19710707,   72,    0
  3176, 13488,19710708,   57,    0
  3176, 13488,19710709,   41,    0
  3176, 13488,19710710,   67,    0
  3176, 13488,19710711,   31,    0
  3176, 13488,19710712,   72,    0
  3176, 13488,19710713,   67,    0
  3176, 13488,19710714,   67,    0
  3176, 13488,19710715,   93,    0
  3176, 13488,19710716,   98,    0
  3176, 13488,19710717,   72,    0
  3176, 13488,19710718,   62,    0
  3176, 13488,19710719,   36,    0
  3176, 13488,19710720,   41,    0
  3176, 13488,19710721,   36,    0
  3176, 13488,19710722,   41,    0
  3176, 13488,19710723,   46,    0
  3176, 13488,19710724,   62,    0
  3176, 13488,19710725,   62,    0
  3176, 13488,19710726,   51,    0
  3176, 13488,19710727,   36,    0
  3176, 13488,19710728,   82,    0
  3176, 13488,19710729,   98,    0
  3176, 13488,19710730,   41,    0
  3176, 13488,19710731,  103,    0
  3176, 13488,19710801,   67,    0
  3176, 13488,19710802,   57,    0
  3176, 13488,19710803,   82,    0
  3176, 13488,19710804,  123,    0
  3176, 13488,19710805,   72,    0
  3176, 13488,19710806,   62,    0
  3176, 13488,19710807,   87,    0
  3176, 13488,19710808,   77,    0
  3176, 13488,19710809,  108,    0
  3176, 13488,19710810,   57,    0
  3176, 13488,19710811,  118,    0
  3176, 13488,19710812,   72,    0
  3176, 13488,19710813,  108,    0
  3176, 13488,19710814,  103,    0
  3176, 13488,19710815,   93,    0
  3176, 13488,19710816,   46,    0
  3176, 13488,19710817,   51,    0
  3176, 13488,19710818,   87,    0
  3176, 13488,19710819,   41,    0
  3176, 13488,19710820,   36,    0
  3176, 13488,19710821,   36,    0
  3176, 13488,19710822,   51,    0
  3176, 13488,19710823,   51,    0
  3176, 13488,19710824,   77,    0
  3176, 13488,19710825,   62,    0
  3176, 13488,19710826,   57,    0
  3176, 13488,19710827,  103,    0
  3176, 13488,19710828,  144,    0
  3176, 13488,19710829,  103,    0
  3176, 13488,19710830,   93,    0
  3176, 13488,19710831,   93,    0
  3176, 13488,19710901,  134,    0
  3176, 13488,19710902,   93,    0
  3176, 13488,19710903,   72,    0
  3176, 13488,19710904,   72,    0
  3176, 13488,19710905,   36,    0
  3176, 13488,19710906,   57,    0
  3176, 13488,19710907,   62,    0
  3176, 13488,19710908,   77,    0
  3176, 13488,19710909,   82,    0
  3176, 13488,19710910,   57,    0
  3176, 13488,19710911,   51,    0
  3176, 13488,19710912,   77,    0
  3176, 13488,19710913,   67,    0
  3176, 13488,19710914,   57,    0
  3176, 13488,19710915,   46,    0
  3176, 13488,19710916,   31,    0
  3176, 13488,19710917,   67,    0
  3176, 13488,19710918,   72,    0
  3176, 13488,19710919,   36,    0
  3176, 13488,19710920,   31,    0
  3176, 13488,19710921,   26,    0
  3176, 13488,19710922,   51,    0
  3176, 13488,19710923,   62,    0
  3176, 13488,19710924,   62,    0
  3176, 13488,19710925,   57,    0
  3176, 13488,19710926,   51,    0
  3176, 13488,19710927,   51,    0
  3176, 13488,19710928,   31,    0
  3176, 13488,19710929,   36,    0
  3176, 13488,19710930,   67,    0
  3176, 13488,19711001,   41,    0
  3176, 13488,19711002,   21,    0
  3176, 13488,19711003,   15,    0
  3176, 13488,19711004,   77,    0
  3176, 13488,19711005,   46,    0
  3176, 13488,19711006,   51,    0
  3176, 13488,19711007,   93,    0
  3176, 13488,19711008,   82,    0
  3176, 13488,19711009,   93,    0
  3176, 13488,19711010,  108,    0
  3176, 13488,19711011,  118,    0
  3176, 13488,19711012,   62,    0
  3176, 13488,19711013,   87,    0
  3176, 13488,19711014,   72,    0
  3176, 13488,19711015,   41,    0
  3176, 13488,19711016,   77,    0
  3176, 13488,19711017,  103,    0
  3176, 13488,19711018,  165,    0
  3176, 13488,19711019,  170,    0
  3176, 13488,19711020,  154,    0
  3176, 13488,19711021,  129,    0
  3176, 13488,19711022,  129,    0
  3176, 13488,19711023,   67,    0
  3176, 13488,19711024,   57,    0
  3176, 13488,19711025,   57,    0
  3176, 13488,19711026,   77,    0
  3176, 13488,19711027,   87,    0
  3176, 13488,19711028,   62,    0
  3176, 13488,19711029,   51,    0
  3176, 13488,19711030,   57,    0
  3176, 13488,19711031,   72,    0
  3176, 13488,19711101,   57,    0
  3176, 13488,19711102,   93,    0
  3176, 13488,19711103,   93,    0
  3176, 13488,19711104,  118,    0
  3176, 13488,19711105,  118,    0
  3176, 13488,19711106,  103,    0
  3176, 13488,19711107,  139,    0
  3176, 13488,19711108,  123,    0
  3176, 13488,19711109,  118,    0
  3176, 13488,19711110,   62,    0
  3176, 13488,19711111,   51,    0
  3176, 13488,19711112,   46,    0
  3176, 13488,19711113,   77,    0
  3176, 13488,19711114,   93,    0
  3176, 13488,19711115,   93,    0
  3176, 13488,19711116,  139,    0
  3176, 13488,19711117,  134,    0
  3176, 13488,19711118,   93,    0
  3176, 13488,19711119,   57,    0
  3176, 13488,19711120,   82,    0
  3176, 13488,19711121,  159,    0
  3176, 13488,19711122,  201,    0
  3176, 13488,19711123,   87,    0
  3176, 13488,19711124,   67,    0
  3176, 13488,19711125,  103,    0
  3176, 13488,19711126,   51,    0
  3176, 13488,19711127,   72,    0
  3176, 13488,19711128,   57,    0
  3176, 13488,19711129,   62,    0
  3176, 13488,19711130,   62,    0
  3176, 13488,19711201,   36,    0
  3176, 13488,19711202,   57,    0
  3176, 13488,19711203,   46,    0
  3176, 13488,19711204,   87,    0
  3176, 13488,19711205,   41,    0
  3176, 13488,19711206,   21,    0
  3176, 13488,19711207,   51,    0
  3176, 13488,19711208,   77,    0
  3176, 13488,19711209,   98,    0
  3176, 13488,19711210,   98,    0
  3176, 13488,19711211,  108,    0
  3176, 13488,19711212,   82,    0
  3176, 13488,19711213,  118,    0
  3176, 13488,19711214,   98,    0
  3176, 13488,19711215,  113,    0
  3176, 13488,19711216,   98,    0
  3176, 13488,19711217,   77,    0
  3176, 13488,19711218,   82,    0
  3176, 13488,19711219,  123,    0
  3176, 13488,19711220,  123,    0
  3176, 13488,19711221,  103,    0
  3176, 13488,19711222,   36,    0
  3176, 13488,19711223,   57,    0
  3176, 13488,19711224,   87,    0
  3176, 13488,19711225,   72,    0
  3176, 13488,19711226,   57,    0
  3176, 13488,19711227,   62,    0
  3176, 13488,19711228,   72,    0
  3176, 13488,19711229,   87,    0
  3176, 13488,19711230,  118,    0
  3176, 13488,19711231,  154,    0
  3176, 13488,19720101,   98,    0
  3176, 13488,19720102,   67,    0
  3176, 13488,19720103,   57,    0
  3176, 13488,19720104,   15,    0
  3176, 13488,19720105,   36,    0
  3176, 13488,19720106,   36,    0
  3176, 13488,19720107,   46,    0
  3176, 13488,19720108,   72,    0
  3176, 13488,19720109,   72,    0
  3176, 13488,19720110,   67,    0
  3176, 13488,19720111,   87,    0
  3176, 13488,19720112,   36,    0
  3176, 13488,19720113,   46,    0
  3176, 13488,19720114,   41,    0
  3176, 13488,19720115,   82,    0
  3176, 13488,19720116,   87,    0
  3176, 13488,19720117,  129,    0
  3176, 13488,19720118,   82,    0
  3176, 13488,19720119,   82,    0
  3176, 13488,19720120,   31,    0
  3176, 13488,19720121,   36,    0
  3176, 13488,19720122,   57,    0
  3176, 13488,19720123,   67,    0
  3176, 13488,19720124,   93,    0
  3176, 13488,19720125,   72,    0
  3176, 13488,19720126,  118,    0
  3176, 13488,19720127,  108,    0
  3176, 13488,19720128,  123,    0
  3176, 13488,19720129,  123,    0
  3176, 13488,19720130,   46,    0
  3176, 13488,19720131,   82,    0
  3176, 13488,19720201,   82,    0
  3176, 13488,19720202,   82,    0
  3176, 13488,19720203,   93,    0
  3176, 13488,19720204,   72,    0
  3176, 13488,19720205,   67,    0
  3176, 13488,19720206,   82,    0
  3176, 13488,19720207,   46,    0
  3176, 13488,19720208,   51,    0
  3176, 13488,19720209,   36,    0
  3176, 13488,19720210,   51,    0
  3176, 13488,19720211,   77,    0
  3176, 13488,19720212,   72,    0
  3176, 13488,19720213,   41,    0
  3176, 13488,19720214,   62,    0
  3176, 13488,19720215,   72,    0
  3176, 13488,19720216,   72,    0
  3176, 13488,19720217,   72,    0
  3176, 13488,19720218,  123,    0
  3176, 13488,19720219,   98,    0
  3176, 13488,19720220,   62,    0
  3176, 13488,19720221,   26,    0
  3176, 13488,19720222,   41,    0
  3176, 13488,19720223,   98,    0
  3176, 13488,19720224,   87,    0
  3176, 13488,19720225,   57,    0
  3176, 13488,19720226,   41,    0
  3176, 13488,19720227,   31,    0
  3176, 13488,19720228,   26,    0
  3176, 13488,19720229,   31,    0
  3176, 13488,19720301,   51,    0
  3176, 13488,19720302,   36,    0
  3176, 13488,19720303,   77,    0
  3176, 13488,19720304,   67,    0
  3176, 13488,19720305,   67,    0
  3176, 13488,19720306,   82,    0
  3176, 13488,19720307,   77,    0
  3176, 13488,19720308,   31,    0
  3176, 13488,19720309,   57,    0
  3176, 13488,19720310,   98,    0
  3176, 13488,19720311,  149,    0
  3176, 13488,19720312,  154,    0
  3176, 13488,19720313,   62,    0
  3176, 13488,19720314,   51,    0
  3176, 13488,19720315,   36,    0
  3176, 13488,19720316,   36,    0
  3176, 13488,19720317,   46,    0
  3176, 13488,19720318,   41,    0
  3176, 13488,19720319,   36,    0
  3176, 13488,19720320,   21,    0
  3176, 13488,19720321,   26,    0
  3176, 13488,19720322,   36,    0
  3176, 13488,19720323,   51,    0
