EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DEN HELDER, NETHERLANDS (STAID: 160)
Blended and updated with sources:13489 13571 15803 906235 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   FG, Q_FG
   160, 15803,19060611,   46,    0
   160, 15803,19060612,   31,    0
   160, 15803,19060613,   57,    0
   160, 15803,19060614,   82,    0
   160, 15803,19060615,   31,    0
   160, 15803,19060616,   15,    0
   160, 15803,19060617,   15,    0
   160, 15803,19060618,   26,    0
   160, 15803,19060619,   21,    0
   160, 15803,19060620,   15,    0
   160, 15803,19060621,   21,    0
   160, 15803,19060622,   10,    0
   160, 15803,19060623,   26,    0
   160, 15803,19060624,   21,    0
   160, 15803,19060625,   62,    0
   160, 15803,19060626,   62,    0
   160, 15803,19060627,   46,    0
   160, 15803,19060628,   26,    0
   160, 15803,19060629,  103,    0
   160, 15803,19060630,   57,    0
   160, 15803,19060701,   26,    0
   160, 15803,19060702,   46,    0
   160, 15803,19060703,   57,    0
   160, 15803,19060704,   57,    0
   160, 15803,19060705,   57,    0
   160, 15803,19060706,   21,    0
   160, 15803,19060707,    5,    0
   160, 15803,19060708,   21,    0
   160, 15803,19060709,   21,    0
   160, 15803,19060710,   21,    0
   160, 15803,19060711,   67,    0
   160, 15803,19060712,   62,    0
   160, 15803,19060713,   31,    0
   160, 15803,19060714,   46,    0
   160, 15803,19060715,   67,    0
   160, 15803,19060716,   72,    0
   160, 15803,19060717,   51,    0
   160, 15803,19060718,   31,    0
   160, 15803,19060719,   57,    0
   160, 15803,19060720,   57,    0
   160, 15803,19060721,   57,    0
   160, 15803,19060722,   26,    0
   160, 15803,19060723,   10,    0
   160, 15803,19060724,   31,    0
   160, 15803,19060725,   26,    0
   160, 15803,19060726,   57,    0
   160, 15803,19060727,   41,    0
   160, 15803,19060728,   15,    0
   160, 15803,19060729,   15,    0
   160, 15803,19060730,   26,    0
   160, 15803,19060731,   21,    0
   160, 15803,19060801,   15,    0
   160, 15803,19060802,   26,    0
   160, 15803,19060803,   57,    0
   160, 15803,19060804,   72,    0
   160, 15803,19060805,   57,    0
   160, 15803,19060806,   31,    0
   160, 15803,19060807,   21,    0
   160, 15803,19060808,    5,    0
   160, 15803,19060809,   51,    0
   160, 15803,19060810,   36,    0
   160, 15803,19060811,   46,    0
   160, 15803,19060812,   21,    0
   160, 15803,19060813,   26,    0
   160, 15803,19060814,   21,    0
   160, 15803,19060815,   62,    0
   160, 15803,19060816,   67,    0
   160, 15803,19060817,   51,    0
   160, 15803,19060818,   41,    0
   160, 15803,19060819,   51,    0
   160, 15803,19060820,   82,    0
   160, 15803,19060821,   41,    0
   160, 15803,19060822,   36,    0
   160, 15803,19060823,   41,    0
   160, 15803,19060824,   26,    0
   160, 15803,19060825,  113,    0
   160, 15803,19060826,   72,    0
   160, 15803,19060827,   57,    0
   160, 15803,19060828,   15,    0
   160, 15803,19060829,    5,    0
   160, 15803,19060830,   10,    0
   160, 15803,19060831,   10,    0
   160, 15803,19060901,   15,    0
   160, 15803,19060902,   15,    0
   160, 15803,19060903,   10,    0
   160, 15803,19060904,   36,    0
   160, 15803,19060905,   31,    0
   160, 15803,19060906,   72,    0
   160, 15803,19060907,   51,    0
   160, 15803,19060908,   46,    0
   160, 15803,19060909,   46,    0
   160, 15803,19060910,   62,    0
   160, 15803,19060911,   31,    0
   160, 15803,19060912,   15,    0
   160, 15803,19060913,   15,    0
   160, 15803,19060914,   36,    0
   160, 15803,19060915,   46,    0
   160, 15803,19060916,   36,    0
   160, 15803,19060917,   21,    0
   160, 15803,19060918,   67,    0
   160, 15803,19060919,   26,    0
   160, 15803,19060920,   36,    0
   160, 15803,19060921,   41,    0
   160, 15803,19060922,   62,    0
   160, 15803,19060923,   67,    0
   160, 15803,19060924,   57,    0
   160, 15803,19060925,   10,    0
   160, 15803,19060926,   21,    0
   160, 15803,19060927,   15,    0
   160, 15803,19060928,   26,    0
   160, 15803,19060929,   15,    0
   160, 15803,19060930,    5,    0
   160, 15803,19061001,   21,    0
   160, 15803,19061002,   51,    0
   160, 15803,19061003,   26,    0
   160, 15803,19061004,   15,    0
   160, 15803,19061005,   31,    0
   160, 15803,19061006,   57,    0
   160, 15803,19061007,   46,    0
   160, 15803,19061008,   15,    0
   160, 15803,19061009,   21,    0
   160, 15803,19061010,   41,    0
   160, 15803,19061011,   21,    0
   160, 15803,19061012,   57,    0
   160, 15803,19061013,   41,    0
   160, 15803,19061014,   41,    0
   160, 15803,19061015,   67,    0
   160, 15803,19061016,   57,    0
   160, 15803,19061017,   77,    0
   160, 15803,19061018,   26,    0
   160, 15803,19061019,   57,    0
   160, 15803,19061020,   41,    0
   160, 15803,19061021,   26,    0
   160, 15803,19061022,   15,    0
   160, 15803,19061023,   31,    0
   160, 15803,19061024,   21,    0
   160, 15803,19061025,   36,    0
   160, 15803,19061026,   15,    0
   160, 15803,19061027,   26,    0
   160, 15803,19061028,   57,    0
   160, 15803,19061029,   98,    0
   160, 15803,19061030,   46,    0
   160, 15803,19061031,   67,    0
   160, 15803,19061101,   41,    0
   160, 15803,19061102,   36,    0
