EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 15-02-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOEK VAN HOLLAND, NETHERLANDS (STAID: 602)
Blended and updated with sources:13634 906330 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   FG, Q_FG
   602, 13634,19710611,   41,    0
   602, 13634,19710612,   36,    0
   602, 13634,19710613,   41,    0
   602, 13634,19710614,   62,    0
   602, 13634,19710615,  103,    0
   602, 13634,19710616,   82,    0
   602, 13634,19710617,   46,    0
   602, 13634,19710618,   87,    0
   602, 13634,19710619,   67,    0
   602, 13634,19710620,   87,    0
   602, 13634,19710621,   82,    0
   602, 13634,19710622,   93,    0
   602, 13634,19710623,   36,    0
   602, 13634,19710624,   21,    0
   602, 13634,19710625,   57,    0
   602, 13634,19710626,   67,    0
   602, 13634,19710627,   93,    0
   602, 13634,19710628,   67,    0
   602, 13634,19710629,   57,    0
   602, 13634,19710630,   57,    0
   602, 13634,19710701,   21,    0
   602, 13634,19710702,   31,    0
   602, 13634,19710703,   41,    0
   602, 13634,19710704,   31,    0
   602, 13634,19710705,   41,    0
   602, 13634,19710706,   51,    0
   602, 13634,19710707,   51,    0
   602, 13634,19710708,   26,    0
   602, 13634,19710709,   36,    0
   602, 13634,19710710,   62,    0
   602, 13634,19710711,   26,    0
   602, 13634,19710712,   57,    0
   602, 13634,19710713,   57,    0
   602, 13634,19710714,   41,    0
   602, 13634,19710715,   72,    0
   602, 13634,19710716,   62,    0
   602, 13634,19710717,   46,    0
